KA,名义功率(kW),小轮转速(r/min),带型,基准宽度Bd,Hamin,Hfmin,e,Fmin,δmin,轴孔径d
1.1,5.5,960,A,11 '/ 11,2.75 / 2.75,8.7 / 8.7,15 / 15,9 '/ 9,6 '/ 6,38 / 25,

小轮 / 大轮直径,传动比, 带基准长度, 中心矩, 小轮包角(°), 带速(m/s), 带的根数,建议带轮结构,槽轮角φ(°),最小带轮宽B,轮毂宽度L,最小外径da,轮毂直径d1,轮缘内径D1,腹板厚度C',预估毛坯质量(Kg)
100 / 200,2,890,203.428,151.835,5.02655,7,实心 / 孔板,34 / 38,108 / 108,76 / 50,105.5 / 205.5,76 / 50,70.6 / 170.6,0~0 / 15~27,6.12 / 9.32
100 / 200,2,990,253.946,157.438,5.02655,7,实心 / 孔板,34 / 38,108 / 108,76 / 50,105.5 / 205.5,76 / 50,70.6 / 170.6,0~0 / 15~27,6.12 / 9.32
100 / 200,2,990,254.381,157.476,5.02655,7,实心 / 孔板,34 / 38,108 / 108,76 / 50,105.5 / 205.5,76 / 50,70.6 / 170.6,0~0 / 15~27,6.12 / 9.32
100 / 200,2,990,254.751,157.509,5.02655,7,实心 / 孔板,34 / 38,108 / 108,76 / 50,105.5 / 205.5,76 / 50,70.6 / 170.6,0~0 / 15~27,6.12 / 9.32
100 / 200,2,1100,310.07,161.522,5.02655,7,实心 / 孔板,34 / 38,108 / 108,76 / 50,105.5 / 205.5,76 / 50,70.6 / 170.6,0~0 / 15~27,6.12 / 9.32
100 / 200,2,1100,310.348,161.538,5.02655,7,实心 / 孔板,34 / 38,108 / 108,76 / 50,105.5 / 205.5,76 / 50,70.6 / 170.6,0~0 / 15~27,6.12 / 9.32
100 / 200,2,1100,310.593,161.553,5.02655,7,实心 / 孔板,34 / 38,108 / 108,76 / 50,105.5 / 205.5,76 / 50,70.6 / 170.6,0~0 / 15~27,6.12 / 9.32
100 / 200,2,1250,385.809,165.149,5.02655,6,实心 / 孔板,34 / 38,93 / 93,76 / 50,105.5 / 205.5,76 / 50,70.6 / 170.6,0~0 / 13~23,5.56 / 8.11
100 / 200,2,1250,386.002,165.157,5.02655,6,实心 / 孔板,34 / 38,93 / 93,76 / 50,105.5 / 205.5,76 / 50,70.6 / 170.6,0~0 / 13~23,5.56 / 8.11
100 / 200,2,1250,386.175,165.163,5.02655,6,实心 / 孔板,34 / 38,93 / 93,76 / 50,105.5 / 205.5,76 / 50,70.6 / 170.6,0~0 / 13~23,5.56 / 8.11
100 / 200,2,1250,386.332,165.169,5.02655,6,实心 / 孔板,34 / 38,93 / 93,76 / 50,105.5 / 205.5,76 / 50,70.6 / 170.6,0~0 / 13~23,5.56 / 8.11
100 / 200,2,1250,386.474,165.175,5.02655,6,实心 / 孔板,34 / 38,93 / 93,76 / 50,105.5 / 205.5,76 / 50,70.6 / 170.6,0~0 / 13~23,5.56 / 8.11
100 / 200,2,1430,476.603,167.978,5.02655,6,实心 / 孔板,34 / 38,93 / 93,76 / 50,105.5 / 205.5,76 / 50,70.6 / 170.6,0~0 / 13~23,5.56 / 8.11
100 / 200,2,1430,476.721,167.981,5.02655,6,实心 / 孔板,34 / 38,93 / 93,76 / 50,105.5 / 205.5,76 / 50,70.6 / 170.6,0~0 / 13~23,5.56 / 8.11
100 / 200,2,1430,476.83,167.984,5.02655,6,实心 / 孔板,34 / 38,93 / 93,76 / 50,105.5 / 205.5,76 / 50,70.6 / 170.6,0~0 / 13~23,5.56 / 8.11
100 / 200,2,1550,536.93,169.329,5.02655,6,实心 / 孔板,34 / 38,93 / 93,76 / 50,105.5 / 205.5,76 / 50,70.6 / 170.6,0~0 / 13~23,5.56 / 8.11
100 / 200,2,1550,537.022,169.331,5.02655,6,实心 / 孔板,34 / 38,93 / 93,76 / 50,105.5 / 205.5,76 / 50,70.6 / 170.6,0~0 / 13~23,5.56 / 8.11
100 / 200,2,1550,537.108,169.333,5.02655,6,实心 / 孔板,34 / 38,93 / 93,76 / 50,105.5 / 205.5,76 / 50,70.6 / 170.6,0~0 / 13~23,5.56 / 8.11
100 / 200,2,1640,582.188,170.159,5.02655,6,实心 / 孔板,34 / 38,93 / 93,76 / 50,105.5 / 205.5,76 / 50,70.6 / 170.6,0~0 / 13~23,5.56 / 8.11
100 / 200,2,1640,582.262,170.16,5.02655,6,实心 / 孔板,34 / 38,93 / 93,76 / 50,105.5 / 205.5,76 / 50,70.6 / 170.6,0~0 / 13~23,5.56 / 8.11
112 / 224,2,990,224.44,151.408,5.62973,6,实心 / 孔板,34 / 38,93 / 93,76 / 50,117.5 / 229.5,76 / 50,82.6 / 194.6,0~0 / 13~23,6.04 / 9.07
112 / 224,2,1100,279.962,157.079,5.62973,6,实心 / 孔板,34 / 38,93 / 93,76 / 50,117.5 / 229.5,76 / 50,82.6 / 194.6,0~0 / 13~23,6.04 / 9.07
112 / 224,2,1100,280.409,157.115,5.62973,6,实心 / 孔板,34 / 38,93 / 93,76 / 50,117.5 / 229.5,76 / 50,82.6 / 194.6,0~0 / 13~23,6.04 / 9.07
112 / 224,2,1100,280.795,157.147,5.62973,6,实心 / 孔板,34 / 38,93 / 93,76 / 50,117.5 / 229.5,76 / 50,82.6 / 194.6,0~0 / 13~23,6.04 / 9.07
112 / 224,2,1100,281.132,157.174,5.62973,6,实心 / 孔板,34 / 38,93 / 93,76 / 50,117.5 / 229.5,76 / 50,82.6 / 194.6,0~0 / 13~23,6.04 / 9.07
112 / 224,2,1250,356.428,161.996,5.62973,5,实心 / 孔板,34 / 38,78 / 78,76 / 50,117.5 / 229.5,76 / 50,82.6 / 194.6,0~0 / 11~20,5.39 / 7.70
112 / 224,2,1250,356.692,162.009,5.62973,5,实心 / 孔板,34 / 38,78 / 78,76 / 50,117.5 / 229.5,76 / 50,82.6 / 194.6,0~0 / 11~20,5.39 / 7.70
112 / 224,2,1250,356.927,162.021,5.62973,5,实心 / 孔板,34 / 38,78 / 78,76 / 50,117.5 / 229.5,76 / 50,82.6 / 194.6,0~0 / 11~20,5.39 / 7.70
112 / 224,2,1250,357.139,162.032,5.62973,5,实心 / 孔板,34 / 38,78 / 78,76 / 50,117.5 / 229.5,76 / 50,82.6 / 194.6,0~0 / 11~20,5.39 / 7.70
112 / 224,2,1430,447.33,165.655,5.62973,5,实心 / 孔板,34 / 38,78 / 78,76 / 50,117.5 / 229.5,76 / 50,82.6 / 194.6,0~0 / 11~20,5.39 / 7.70
112 / 224,2,1430,447.503,165.66,5.62973,5,实心 / 孔板,34 / 38,78 / 78,76 / 50,117.5 / 229.5,76 / 50,82.6 / 194.6,0~0 / 11~20,5.39 / 7.70
112 / 224,2,1430,447.662,165.665,5.62973,5,实心 / 孔板,34 / 38,78 / 78,76 / 50,117.5 / 229.5,76 / 50,82.6 / 194.6,0~0 / 11~20,5.39 / 7.70
112 / 224,2,1430,447.807,165.67,5.62973,5,实心 / 孔板,34 / 38,78 / 78,76 / 50,117.5 / 229.5,76 / 50,82.6 / 194.6,0~0 / 11~20,5.39 / 7.70
112 / 224,2,1550,507.94,167.366,5.62973,5,实心 / 孔板,34 / 38,78 / 78,76 / 50,117.5 / 229.5,76 / 50,82.6 / 194.6,0~0 / 11~20,5.39 / 7.70
112 / 224,2,1550,508.063,167.369,5.62973,5,实心 / 孔板,34 / 38,78 / 78,76 / 50,117.5 / 229.5,76 / 50,82.6 / 194.6,0~0 / 11~20,5.39 / 7.70
112 / 224,2,1640,553.176,168.399,5.62973,5,实心 / 孔板,34 / 38,78 / 78,76 / 50,117.5 / 229.5,76 / 50,82.6 / 194.6,0~0 / 11~20,5.39 / 7.70
112 / 224,2,1640,553.282,168.402,5.62973,5,实心 / 孔板,34 / 38,78 / 78,76 / 50,117.5 / 229.5,76 / 50,82.6 / 194.6,0~0 / 11~20,5.39 / 7.70
112 / 224,2,1640,553.38,168.404,5.62973,5,实心 / 孔板,34 / 38,78 / 78,76 / 50,117.5 / 229.5,76 / 50,82.6 / 194.6,0~0 / 11~20,5.39 / 7.70
112 / 224,2,1750,608.472,169.454,5.62973,5,实心 / 孔板,34 / 38,78 / 78,76 / 50,117.5 / 229.5,76 / 50,82.6 / 194.6,0~0 / 11~20,5.39 / 7.70
112 / 224,2,1750,608.557,169.455,5.62973,5,实心 / 孔板,34 / 38,78 / 78,76 / 50,117.5 / 229.5,76 / 50,82.6 / 194.6,0~0 / 11~20,5.39 / 7.70
112 / 224,2,1750,608.638,169.457,5.62973,5,实心 / 孔板,34 / 38,78 / 78,76 / 50,117.5 / 229.5,76 / 50,82.6 / 194.6,0~0 / 11~20,5.39 / 7.70
112 / 224,2,1750,608.713,169.458,5.62973,5,实心 / 孔板,34 / 38,78 / 78,76 / 50,117.5 / 229.5,76 / 50,82.6 / 194.6,0~0 / 11~20,5.39 / 7.70
125 / 250,2,1100,248.035,151.125,6.28319,5,实心 / 孔板,38 / 38,78 / 78,76 / 50,130.5 / 255.5,76 / 50,95.6 / 220.6,0~0 / 11~20,5.83 / 8.57
125 / 250,2,1100,248.562,151.186,6.28319,5,实心 / 孔板,38 / 38,78 / 78,76 / 50,130.5 / 255.5,76 / 50,95.6 / 220.6,0~0 / 11~20,5.83 / 8.57
125 / 250,2,1250,324.019,157.896,6.28319,5,实心 / 孔板,38 / 38,78 / 78,76 / 50,130.5 / 255.5,76 / 50,95.6 / 220.6,0~0 / 11~20,5.83 / 8.57
125 / 250,2,1250,324.419,157.924,6.28319,5,实心 / 孔板,38 / 38,78 / 78,76 / 50,130.5 / 255.5,76 / 50,95.6 / 220.6,0~0 / 11~20,5.83 / 8.57
125 / 250,2,1250,324.773,157.948,6.28319,5,实心 / 孔板,38 / 38,78 / 78,76 / 50,130.5 / 255.5,76 / 50,95.6 / 220.6,0~0 / 11~20,5.83 / 8.57
125 / 250,2,1250,325.088,157.969,6.28319,5,实心 / 孔板,38 / 38,78 / 78,76 / 50,130.5 / 255.5,76 / 50,95.6 / 220.6,0~0 / 11~20,5.83 / 8.57
125 / 250,2,1430,415.369,162.758,6.28319,4,实心 / 孔板,38 / 38,63 / 63,76 / 50,130.5 / 255.5,76 / 50,95.6 / 220.6,0~0 / 9~16,5.10 / 7.04
125 / 250,2,1430,415.623,162.768,6.28319,4,实心 / 孔板,38 / 38,63 / 63,76 / 50,130.5 / 255.5,76 / 50,95.6 / 220.6,0~0 / 9~16,5.10 / 7.04
125 / 250,2,1430,415.853,162.778,6.28319,4,实心 / 孔板,38 / 38,63 / 63,76 / 50,130.5 / 255.5,76 / 50,95.6 / 220.6,0~0 / 9~16,5.10 / 7.04
125 / 250,2,1430,416.062,162.786,6.28319,4,实心 / 孔板,38 / 38,63 / 63,76 / 50,130.5 / 255.5,76 / 50,95.6 / 220.6,0~0 / 9~16,5.10 / 7.04
125 / 250,2,1550,476.253,164.962,6.28319,4,实心 / 孔板,38 / 38,63 / 63,76 / 50,130.5 / 255.5,76 / 50,95.6 / 220.6,0~0 / 9~16,5.10 / 7.04
125 / 250,2,1550,476.428,164.967,6.28319,4,实心 / 孔板,38 / 38,63 / 63,76 / 50,130.5 / 255.5,76 / 50,95.6 / 220.6,0~0 / 9~16,5.10 / 7.04
125 / 250,2,1640,521.589,166.269,6.28319,4,实心 / 孔板,38 / 38,63 / 63,76 / 50,130.5 / 255.5,76 / 50,95.6 / 220.6,0~0 / 9~16,5.10 / 7.04
125 / 250,2,1640,521.738,166.273,6.28319,4,实心 / 孔板,38 / 38,63 / 63,76 / 50,130.5 / 255.5,76 / 50,95.6 / 220.6,0~0 / 9~16,5.10 / 7.04
125 / 250,2,1640,521.875,166.276,6.28319,4,实心 / 孔板,38 / 38,63 / 63,76 / 50,130.5 / 255.5,76 / 50,95.6 / 220.6,0~0 / 9~16,5.10 / 7.04
125 / 250,2,1750,577.003,167.588,6.28319,4,实心 / 孔板,38 / 38,63 / 63,76 / 50,130.5 / 255.5,76 / 50,95.6 / 220.6,0~0 / 9~16,5.10 / 7.04
