齿轮类型,GearType,1
输入功率(KW),InputPower,11
理论齿数比,u_ima,3.2
小轮转速(r/min),n1,970
工作寿命(h),Lh,60000
齿轮精度等级,Level,7
小轮材料与热处理方式,Material1,40
大轮材料与热处理方式,Material2,45
小轮硬度,G1Hardness,280HB
大轮硬度,G2Hardness,240HB
小轮初选齿数,z1_ima,24
初选螺旋角,beta_ima,14
试选载荷系数,KH_test,1.3
齿宽系数,PHI_d,1
弹性影响系数,ZE,189.8
小轮接触疲劳极限,sigmaHlim1,600
大轮接触疲劳极限,sigmaHlim2,550
小轮接触疲劳寿命系数,KHN1,0.88
大轮接触疲劳寿命系数,KHN2,0.91
使用系数,KHA,1
齿向载荷分布系数,KHbeta,1.32
试选载荷系数,KF_test,1.3
小轮齿根弯曲疲劳极限,sigmaFlim1,500
大轮齿根弯曲疲劳极限,sigmaFlim2,320
小轮弯曲疲劳寿命系数,KFN1,0.85
大轮弯曲疲劳寿命系数,KFN2,0.88
弯曲疲劳安全系数,SafeF,1.4
小轮实际齿数,z1_rel,29
大轮实际齿数,z2_rel,93
小轮轴径,Axis1_PHI,20
大轮轴径,Axis2_PHI,60
