齿轮类型,GearType,1
输入功率(KW),InputPower,11
小轮转速(r/min),n1,970
大轮转速(r/min),n2,303.125
小轮初选齿数,z1_ima,24
大轮初选齿数,z2_ima,76.80000000000001
小轮实际齿数,z1_rel,29
大轮实际齿数,z2_rel,93
理论齿数比(理论传动比),u_ima,3.2
实际齿数比(实际传动比),u_rel,3.206896551724138
传动比误差,u_err,-0.21551724137929273
工作寿命(h),Lh,60000
法截面中的压力角(°),AlphaN,20
齿轮精度等级,Level,7
小轮材料与热处理方式,Material1,40Cr调质
大轮材料与热处理方式,Material2,45调质
小轮硬度,G1Hardness,280HB
大轮硬度,G2Hardness,240HB
试选载荷系数,KH_test,1.3
小轮转矩,T1,108298.96907216495
大轮转矩,T2,346556.7010309278
齿宽系数,PHI_d,1
区域系数,ZH,2.429259812501931
弹性影响系数,ZE,189.8
重合度系数,Zepsilon,0.6709100357305592
小轮接触疲劳极限,sigmaHlim1,600
大轮接触疲劳极限,sigmaHlim2,550
小轮应力循环次数,N1,3492000000
大轮应力循环次数,N2,1091250000.0
小轮接触疲劳寿命系数,KHN1,0.88
大轮接触疲劳寿命系数,KHN2,0.91
最小接触疲劳许用应力,sigmaH,500.5
试算小轮分度圆直径,d1_test,51.5490445892974
小轮圆周速度,V1_H,2.6181286131311685
小轮齿宽,b1_H,51.5490445892974
使用系数,KHA,1
动载系数,KHV,1.1006071276934464
(KA*Ft1)/b,(KHA*F1_test)/b1_H,81.51040991233829
齿间载荷分配系数,KHAlpha,1.4
齿向载荷分布系数,KHbeta,1.318
实际载荷系数,KH_rel,2.030840272019947
按齿轮表面疲劳强度设计都的分度圆直径,d1H_rel,59.8133452018299
按齿轮表面疲劳强度设计都的模数,mH,2.4181930509836014
试选载荷系数,KF_test,1.3
重合度系数,Y_epsilon,0.6808238933918163
小轮齿形系数,YFa1,2.591829563450286
小轮应力修正系数,YSa1,1.5963617394249523
大轮齿形系数,YFa2,2.2114191010713116
大轮应力修正系数,YSa2,1.7742904494643443
小轮齿根弯曲疲劳极限,sigmaFlim1,500
大轮齿根弯曲疲劳极限,sigmaFlim2,320
小轮弯曲疲劳寿命系数,KFN1,0.85
大轮弯曲疲劳寿命系数,KFN2,0.88
弯曲疲劳安全系数,SafeF,1.4
最小弯曲疲劳许用应力,sigmaF,201.14285714285717
最大(YFa*YSa)/[σF],(YFa*YSa)/[σF],0.019507030209912624
试算模数,mF_test,1.6814698617816815
按弯曲疲劳强度设计试算小轮分度圆直径,d1F_test,41.590698165438965
按弯曲疲劳强度设计试算小轮圆周速度,VF_test,2.112353347663119
按弯曲疲劳强度设计试算的齿宽,bF,41.590698165438965
宽高比,b/h,10.993212046398913
动载系数,KFV,1.0910044262088638
KA*Ft/b,KA*Ft/b,125.21659694932502
齿间载荷分配系数,KFalpha,1.2
齿向载荷分布系数,KFbeta,1.2855512366010033
实际载荷系数,KF,1.6830505070999675
按弯曲疲劳强度设计的模数,mF,1.8326253362850338
按弯曲疲劳强度设计的小轮分度圆直径,d1F,45.329487577615104
计算模数,m_rel,1.8326253362850338
圆整模数,m,2.0
小轮实际分度圆直径,d1_rel,59.77559050229409
大轮实际分度圆直径,d2_rel,191.69413505908105
小轮实际齿数,z1_rel,29
大轮实际齿数,z2_rel,93
实际中心距,a,126
小轮实际齿宽,b1,64.77559050229408
大轮实际齿宽,b2,59.77559050229409
实际(校核)齿面接触疲劳强度,check_sigmaH,500.8459800092716
两轮实际切向力,F_tangential,
实际(校核)齿根接弯曲劳强度,check_sigmaF,10.262723011495865
小齿轮轴径,Axis1_PHI,20
大齿轮轴径,Axis2_PHI,40
"小齿轮键宽键高键长毂槽深[b,h,l,t1]",Key1_bhlt1,"[6,6,63,2.8]"
"大齿轮键宽键高键长毂槽深[b,h,l,t1]",Key2_bhlt1,"[12,8,56,3.3]"
小轮全齿高,Geo_h1,4.5
小轮齿顶圆直径,Geo_da1,62.0
小轮齿根圆直径,Geo_df1,53.0
小轮齿厚,Geo_s1,3.1400566979542166
大轮全齿高,Geo_h2,4.5
大轮齿顶圆直径,Geo_da2,190.0
大轮齿根圆直径,Geo_df2,181.0
大轮齿厚,Geo_s2,3.141443282591184
小轮结构类型,Gear1StructType,实心式
大轮结构类型,Gear2StructType,腹板式
小轮轮毂宽,hub1_b,40
小轮轮毂直径,hub1_d,32.0
小轮倒角,chamfer1,1.0
大轮轮毂宽,hub2_b,59.77559050229409
大轮轮毂直径,hub2_d,64.0
大轮倒角,chamfer2,1.0
大轮轮缘内径,rim2_d,166.0
大轮腹板孔到轴心的直径,hole2_EQSd,115.0
大轮腹板孔直径,hole2_d,30.599999999999998
大轮腹板厚,web2_b,17.932677150688225
斜齿轮初选螺旋角,beta_ima,14
斜齿轮螺旋角系数,Zbeta_helical,0.9850359010086873
斜齿轮计算弯曲疲劳强度的螺旋角系数,Y_beta,0.7777820090191548
斜齿轮小轮当量齿数,Zv1,26.272347884990463
斜齿轮大轮当量齿数,Zv2,84.29044946434439
斜齿轮修正(实际)螺旋角,beta_rel,14.475648419681924
